Label,D0_open,D0_close,D0_low,D0_high,D1_open,D1_close,D1_low,D1_high,D2_open,D2_close,D2_low,D2_high,D3_open,D3_close,D3_low,D3_high,D4_open,D4_close,D4_low,D4_high,D5_open,D5_close,D5_low,D5_high,D6_open,D6_close,D6_low,D6_high,D7_open,D7_close,D7_low,D7_high
True,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536,0.5291,0.5291,0.5291,0.5313,0.5045,0.5045,0.5045,0.5068,0.4755,0.4755,0.4755,0.4777,0.462,0.462,0.462,0.4643,0.45299999999999996,0.4509,0.4509,0.45299999999999996,0.4889,0.4866,0.4866,0.4889
True,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536,0.5291,0.5291,0.5291,0.5313,0.5045,0.5045,0.5045,0.5068,0.4755,0.4755,0.4755,0.4777,0.462,0.462,0.462,0.4643,0.45299999999999996,0.4509,0.4509,0.45299999999999996
False,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536,0.5291,0.5291,0.5291,0.5313,0.5045,0.5045,0.5045,0.5068,0.4755,0.4755,0.4755,0.4777,0.462,0.462,0.462,0.4643
False,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536,0.5291,0.5291,0.5291,0.5313,0.5045,0.5045,0.5045,0.5068,0.4755,0.4755,0.4755,0.4777
True,0.6116,0.6095,0.6095,0.6116,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536,0.5291,0.5291,0.5291,0.5313,0.5045,0.5045,0.5045,0.5068
False,0.6161,0.6161,0.6161,0.6205,0.6116,0.6095,0.6095,0.6116,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536,0.5291,0.5291,0.5291,0.5313
False,0.6048,0.6027,0.6027,0.6048,0.6161,0.6161,0.6161,0.6205,0.6116,0.6095,0.6095,0.6116,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827,0.5514,0.5514,0.5514,0.5536
False,0.578,0.5759,0.5759,0.578,0.6048,0.6027,0.6027,0.6048,0.6161,0.6161,0.6161,0.6205,0.6116,0.6095,0.6095,0.6116,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361,0.5804,0.5804,0.5804,0.5827
False,0.5536,0.5514,0.5514,0.5536,0.578,0.5759,0.5759,0.578,0.6048,0.6027,0.6027,0.6048,0.6161,0.6161,0.6161,0.6205,0.6116,0.6095,0.6095,0.6116,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452,0.6339,0.6339,0.6339,0.6361
True,0.5423,0.5402,0.5402,0.5423,0.5536,0.5514,0.5514,0.5536,0.578,0.5759,0.5759,0.578,0.6048,0.6027,0.6027,0.6048,0.6161,0.6161,0.6161,0.6205,0.6116,0.6095,0.6095,0.6116,0.6295,0.6271,0.6271,0.6295,0.6429,0.6429,0.6429,0.6452
