Label,D0_open,D0_close,D0_low,D0_high,D1_open,D1_close,D1_low,D1_high,D2_open,D2_close,D2_low,D2_high,D3_open,D3_close,D3_low,D3_high,D4_open,D4_close,D4_low,D4_high,D5_open,D5_close,D5_low,D5_high,D6_open,D6_close,D6_low,D6_high,D7_open,D7_close,D7_low,D7_high
False,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358,1.4792,1.5833,1.4583,1.6458,1.4067,1.5,1.3333,1.5208,1.4375,1.3958,1.3125,1.4483,1.6042,1.4275,1.375,1.6458,1.7292,1.6358,1.6358,1.75,1.7083,1.7083,1.625,1.7708
True,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358,1.4792,1.5833,1.4583,1.6458,1.4067,1.5,1.3333,1.5208,1.4375,1.3958,1.3125,1.4483,1.6042,1.4275,1.375,1.6458,1.7292,1.6358,1.6358,1.75
False,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358,1.4792,1.5833,1.4583,1.6458,1.4067,1.5,1.3333,1.5208,1.4375,1.3958,1.3125,1.4483,1.6042,1.4275,1.375,1.6458
False,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358,1.4792,1.5833,1.4583,1.6458,1.4067,1.5,1.3333,1.5208,1.4375,1.3958,1.3125,1.4483
True,1.4792,1.4167,1.3958,1.49,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358,1.4792,1.5833,1.4583,1.6458,1.4067,1.5,1.3333,1.5208
True,1.4167,1.5417,1.375,1.5417,1.4792,1.4167,1.3958,1.49,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358,1.4792,1.5833,1.4583,1.6458
True,1.5108,1.6567,1.5108,1.7083,1.4167,1.5417,1.375,1.5417,1.4792,1.4167,1.3958,1.49,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417,1.6092,1.5317,1.5317,1.6358
False,1.6875,1.6875,1.6567,1.7083,1.5108,1.6567,1.5108,1.7083,1.4167,1.5417,1.375,1.5417,1.4792,1.4167,1.3958,1.49,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108,1.5417,1.505,1.4792,1.5417
False,1.7083,1.5833,1.5317,1.7083,1.6875,1.6875,1.6567,1.7083,1.5108,1.6567,1.5108,1.7083,1.4167,1.5417,1.375,1.5417,1.4792,1.4167,1.3958,1.49,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317,1.5,1.5,1.4792,1.5108
True,1.5942,1.5417,1.5317,1.6042,1.7083,1.5833,1.5317,1.7083,1.6875,1.6875,1.6567,1.7083,1.5108,1.6567,1.5108,1.7083,1.4167,1.5417,1.375,1.5417,1.4792,1.4167,1.3958,1.49,1.5317,1.4792,1.4792,1.5317,1.5108,1.5108,1.5,1.5317
False,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458,1.5942,1.5417,1.5317,1.6042,1.7083,1.5833,1.5317,1.7083,1.6875,1.6875,1.6567,1.7083,1.5108,1.6567,1.5108,1.7083,1.4167,1.5417,1.375,1.5417,1.4792,1.4167,1.3958,1.49
False,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458,1.5942,1.5417,1.5317,1.6042,1.7083,1.5833,1.5317,1.7083,1.6875,1.6875,1.6567,1.7083,1.5108,1.6567,1.5108,1.7083,1.4167,1.5417,1.375,1.5417
True,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458,1.5942,1.5417,1.5317,1.6042,1.7083,1.5833,1.5317,1.7083,1.6875,1.6875,1.6567,1.7083,1.5108,1.6567,1.5108,1.7083
False,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458,1.5942,1.5417,1.5317,1.6042,1.7083,1.5833,1.5317,1.7083,1.6875,1.6875,1.6567,1.7083
True,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458,1.5942,1.5417,1.5317,1.6042,1.7083,1.5833,1.5317,1.7083
False,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458,1.5942,1.5417,1.5317,1.6042
True,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625,1.5833,1.6042,1.5525,1.6458
False,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042,1.625,1.5833,1.5833,1.625
False,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992,1.5833,1.5733,1.5625,1.6042
False,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367,1.5783,1.505,1.495,1.5992
True,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317,1.5208,1.5108,1.5,1.5367
False,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525,1.5108,1.5108,1.5,1.5317
True,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417,1.5317,1.5258,1.5,1.5525
True,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258,1.5208,1.5,1.4792,1.5417
True,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258,1.505,1.5108,1.4792,1.5258
True,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208,1.5108,1.5108,1.49,1.5258
True,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158,1.5208,1.5108,1.505,1.5208
True,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992,1.5158,1.49,1.4792,1.5158
False,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417,1.5108,1.5417,1.4792,1.5992
False,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942,1.5417,1.5158,1.5108,1.5417
True,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167,1.5367,1.5883,1.5108,1.5942
False,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208,1.6358,1.9117,1.5942,1.9167
False,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333,1.8333,2.0,1.8333,2.0208
False,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858,2.0417,2.3025,2.0417,2.3333
True,2.1875,2.1567,2.1567,2.2192,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858,2.3025,2.3233,2.2708,2.3858
False,2.1775,2.1775,2.1458,2.1983,2.1875,2.1567,2.1567,2.2192,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208,2.365,2.375,2.3333,2.3858
True,2.1667,2.1358,2.0625,2.1875,2.1775,2.1775,2.1458,2.1983,2.1875,2.1567,2.1567,2.2192,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333,2.365,2.3333,2.2083,2.5208
False,2.1875,2.2658,2.1775,2.2708,2.1667,2.1358,2.0625,2.1875,2.1775,2.1775,2.1458,2.1983,2.1875,2.1567,2.1567,2.2192,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958,2.3125,2.2083,2.1775,2.3333
False,2.3025,2.2608,2.2192,2.3125,2.1875,2.2658,2.1775,2.2708,2.1667,2.1358,2.0625,2.1875,2.1775,2.1775,2.1458,2.1983,2.1875,2.1567,2.1567,2.2192,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495,2.1875,2.3858,2.1358,2.3958
True,2.2292,2.2292,2.2192,2.25,2.3025,2.2608,2.2192,2.3125,2.1875,2.2658,2.1775,2.2708,2.1667,2.1358,2.0625,2.1875,2.1775,2.1775,2.1458,2.1983,2.1875,2.1567,2.1567,2.2192,2.2608,2.24,2.2192,2.3442,2.4483,2.3333,2.3025,2.495
